x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
4.08000000e-01,6.58103795e-01,6.74750799e-01,6.74100643e-01,6.50549907e-01,4.74902186e-01,4.45382054e-01,4.46470528e-01,4.87723839e-01,5.56688377e-01,5.78222570e-01,5.77157867e-01,5.47706502e-01
4.12000000e-01,6.44774365e-01,6.62007568e-01,6.61458771e-01,6.37820521e-01,4.97124408e-01,4.66073495e-01,4.67013652e-01,5.09404242e-01,5.40967117e-01,5.63087546e-01,5.62149094e-01,5.32739321e-01
4.16000000e-01,6.31661797e-01,6.49366755e-01,6.48919621e-01,6.25279872e-01,5.19346631e-01,4.86917101e-01,4.87702282e-01,5.31008824e-01,5.25627956e-01,5.48185914e-01,5.47374393e-01,5.18141381e-01
4.20000000e-01,6.18763435e-01,6.36836138e-01,6.36490976e-01,6.12886213e-01,5.41568853e-01,5.07903306e-01,5.08527106e-01,5.52400481e-01,5.10663124e-01,5.33525241e-01,5.32840883e-01,5.03786736e-01
4.24000000e-01,6.06076643e-01,6.24422583e-01,6.24179700e-01,6.00642540e-01,5.63791075e-01,5.29023400e-01,5.29479495e-01,5.73720093e-01,4.96064978e-01,5.19111773e-01,5.18554519e-01,4.89775705e-01
4.28000000e-01,5.93598809e-01,6.12132171e-01,6.11991966e-01,5.88754428e-01,5.86013297e-01,5.50269391e-01,5.50551340e-01,5.95185096e-01,4.81825997e-01,5.04950605e-01,5.04520272e-01,4.76198314e-01
4.32000000e-01,5.81327340e-01,5.99970311e-01,5.99933449e-01,5.77113429e-01,6.08235519e-01,5.71633867e-01,5.71734866e-01,6.16755953e-01,4.67938790e-01,4.91045857e-01,4.90742299e-01,4.63072543e-01
4.36000000e-01,5.69259666e-01,5.87941857e-01,5.88009459e-01,5.65536917e-01,6.30457742e-01,5.93109837e-01,5.93022416e-01,6.38090608e-01,4.54396083e-01,4.77400827e-01,4.77224108e-01,4.50156210e-01
4.40000000e-01,5.57393237e-01,5.76051233e-01,5.76225034e-01,5.54203748e-01,6.52679964e-01,6.14690560e-01,6.14406179e-01,6.59251151e-01,4.41190724e-01,4.64018156e-01,4.63968740e-01,4.37490653e-01
4.44000000e-01,5.45725527e-01,5.64302560e-01,5.64585048e-01,5.43000532e-01,6.74902186e-01,6.36369318e-01,6.35877860e-01,6.80418409e-01,4.28315683e-01,4.50899988e-01,4.50978986e-01,4.25160930e-01
4.48000000e-01,5.34254029e-01,5.52699822e-01,5.53094391e-01,5.32094758e-01,6.97124408e-01,6.58139130e-01,6.57428209e-01,7.01839601e-01,4.15764044e-01,4.38048167e-01,4.38257644e-01,4.13302416e-01
4.52000000e-01,5.22976258e-01,5.41247069e-01,5.41758252e-01,5.21531387e-01,7.19346631e-01,6.79992340e-01,6.79046358e-01,7.23242020e-01,4.03529010e-01,4.25464463e-01,4.25807866e-01,4.01790725e-01
